2023-07-04 00:27:59,534 INFO    MainThread:12108 [wandb_setup.py:_flush():76] Current SDK version is 0.15.4
2023-07-04 00:27:59,535 INFO    MainThread:12108 [wandb_setup.py:_flush():76] Configure stats pid to 12108
2023-07-04 00:27:59,535 INFO    MainThread:12108 [wandb_setup.py:_flush():76] Loading settings from /Users/Raymond/.config/wandb/settings
2023-07-04 00:27:59,535 INFO    MainThread:12108 [wandb_setup.py:_flush():76] Loading settings from /Users/Raymond/Desktop/CSE/CSE 150B/RL/wandb/settings
2023-07-04 00:27:59,535 INFO    MainThread:12108 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-07-04 00:27:59,535 INFO    MainThread:12108 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-07-04 00:27:59,535 INFO    MainThread:12108 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'ppo.py', 'program': '/Users/Raymond/Desktop/CSE/CSE 150B/RL/ppo.py'}
2023-07-04 00:27:59,535 INFO    MainThread:12108 [wandb_init.py:_log_setup():507] Logging user logs to /Users/Raymond/Desktop/CSE/CSE 150B/RL/wandb/run-20230704_002759-b6o7ax00/logs/debug.log
2023-07-04 00:27:59,535 INFO    MainThread:12108 [wandb_init.py:_log_setup():508] Logging internal logs to /Users/Raymond/Desktop/CSE/CSE 150B/RL/wandb/run-20230704_002759-b6o7ax00/logs/debug-internal.log
2023-07-04 00:27:59,535 INFO    MainThread:12108 [wandb_init.py:init():547] calling init triggers
2023-07-04 00:27:59,535 INFO    MainThread:12108 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {}
2023-07-04 00:27:59,535 INFO    MainThread:12108 [wandb_init.py:init():596] starting backend
2023-07-04 00:27:59,535 INFO    MainThread:12108 [wandb_init.py:init():600] setting up manager
2023-07-04 00:27:59,537 INFO    MainThread:12108 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2023-07-04 00:27:59,546 INFO    MainThread:12108 [wandb_init.py:init():606] backend started and connected
2023-07-04 00:27:59,549 INFO    MainThread:12108 [wandb_init.py:init():703] updated telemetry
2023-07-04 00:27:59,549 INFO    MainThread:12108 [wandb_init.py:init():736] communicating run to backend with 60.0 second timeout
2023-07-04 00:28:00,068 INFO    MainThread:12108 [wandb_run.py:_on_init():2176] communicating current version
2023-07-04 00:28:00,224 INFO    MainThread:12108 [wandb_run.py:_on_init():2185] got version response 
2023-07-04 00:28:00,224 INFO    MainThread:12108 [wandb_init.py:init():787] starting run threads in backend
2023-07-04 00:28:00,278 INFO    MainThread:12108 [wandb_run.py:_console_start():2155] atexit reg
2023-07-04 00:28:00,278 INFO    MainThread:12108 [wandb_run.py:_redirect():2010] redirect: 3
2023-07-04 00:28:00,278 INFO    MainThread:12108 [wandb_run.py:_redirect():2075] Wrapping output streams.
2023-07-04 00:28:00,278 INFO    MainThread:12108 [wandb_run.py:_redirect():2100] Redirects installed.
2023-07-04 00:28:00,279 INFO    MainThread:12108 [wandb_init.py:init():828] run started, returning control to user process
2023-07-04 00:29:02,009 WARNING MsgRouterThr:12108 [router.py:message_loop():77] message_loop has been closed
